City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,City Description
82,Victoria,22.29,114.16,84.0,79,62,10.0,HK,broken clouds
83,Lorengau,-2.02,147.27,79.03,79,100,7.49,PG,moderate rain
84,Bredasdorp,-34.53,20.04,55.4,93,100,2.24,ZA,overcast clouds
85,Ansonia,41.35,-73.08,88.0,62,75,10.29,US,broken clouds
86,Pelaya,8.69,-73.66,88.25,63,47,0.2,CO,light rain
87,Gwembe,-16.5,27.61,56.79,54,0,0.83,ZM,clear sky
88,Juba,4.85,31.58,71.6,91,61,4.47,SS,light rain
89,Tiksi,71.69,128.87,37.72,79,100,9.84,RU,overcast clouds
90,Georgetown,5.41,100.34,78.8,94,20,3.36,MY,few clouds
91,Esperance,-33.87,121.9,50.0,100,90,8.05,AU,overcast clouds
92,Khatanga,71.97,102.5,55.65,67,97,10.22,RU,overcast clouds
93,Chokurdakh,70.63,147.92,33.75,91,100,10.67,RU,overcast clouds
94,Upernavik,72.79,-56.15,44.53,84,94,7.31,GL,overcast clouds
95,Vrcin,44.66,20.59,73.4,69,39,6.93,RS,scattered clouds
96,Parana,-31.73,-60.52,73.0,29,0,8.99,AR,clear sky
97,Pangnirtung,66.15,-65.71,42.8,93,75,4.7,CA,fog
98,Kincardine,56.07,-3.72,55.99,87,90,4.7,GB,overcast clouds
99,Saskylakh,71.92,114.08,39.6,86,0,7.38,RU,clear sky
100,Waw,7.7,28.0,72.84,92,100,5.66,SS,overcast clouds
101,Dongsheng,39.82,109.98,56.62,94,3,6.8,CN,clear sky
102,Kununurra,-15.77,128.73,59.0,30,0,1.12,AU,clear sky
103,Gazojak,41.19,61.4,82.89,28,0,17.49,TM,clear sky
104,Port Macquarie,-31.43,152.92,43.0,71,0,9.33,AU,clear sky
105,Saint George,37.1,-113.58,102.0,21,1,5.82,US,clear sky
106,Tasiilaq,65.61,-37.64,42.8,87,0,6.93,GL,clear sky
107,Hermanus,-34.42,19.23,55.99,95,99,6.2,ZA,overcast clouds
108,North Bend,43.41,-124.22,82.0,72,1,8.05,US,clear sky
109,Vondrozo,-22.82,47.28,55.06,100,25,1.9,MG,scattered clouds
110,Lebu,-37.62,-73.65,50.97,91,100,19.42,CL,light rain
111,Sao Manuel,-22.73,-48.57,73.4,40,0,10.29,BR,clear sky
112,Castro,-24.79,-50.01,55.67,75,26,10.18,BR,scattered clouds
113,Lavrentiya,65.58,-171.0,46.99,93,100,4.63,RU,overcast clouds
114,Abrau-Dyurso,44.69,37.59,69.8,49,0,11.18,RU,clear sky
115,Laguna,38.42,-121.42,93.0,19,90,9.17,US,haze
116,Faanui,-16.48,-151.75,76.26,78,24,19.19,PF,few clouds
117,Aklavik,68.22,-135.01,62.6,67,75,11.41,CA,broken clouds
118,Cherskiy,68.75,161.3,38.17,93,100,12.68,RU,light rain
119,Pacific Grove,36.62,-121.92,80.01,60,40,3.36,US,smoke
120,Zaranj,30.97,61.88,86.0,25,0,4.7,AF,clear sky
121,Ust-Maya,60.42,134.53,37.65,80,19,0.29,RU,few clouds
122,Mbanza-Ngungu,-5.25,14.87,71.08,79,36,4.94,CD,scattered clouds
123,Meulaboh,4.14,96.13,77.34,83,100,3.69,ID,overcast clouds
124,Flinders,-34.58,150.86,48.99,62,0,8.01,AU,clear sky
125,Valparaiso,-33.04,-71.63,57.2,66,48,13.87,CL,scattered clouds
126,Nuuk,64.18,-51.72,41.0,93,90,4.7,GL,overcast clouds
127,Deputatskiy,69.3,139.9,31.21,98,100,3.11,RU,overcast clouds
128,Svetlogorsk,52.63,29.73,64.09,95,94,4.79,BY,moderate rain
129,Pitimbu,-7.47,-34.81,80.6,65,66,14.99,BR,broken clouds
130,Fairbanks,64.84,-147.72,63.0,72,20,1.86,US,haze
131,Narsaq,60.92,-46.05,55.4,62,0,11.41,GL,clear sky
132,Sukumo,32.93,132.73,75.52,86,0,1.25,JP,clear sky
133,Quelimane,-17.88,36.89,71.01,83,1,2.24,MZ,clear sky
134,Suntar,62.14,117.63,40.82,74,0,3.31,RU,clear sky
135,Mahebourg,-20.41,57.7,71.6,73,40,18.34,MU,scattered clouds
136,Gijon,43.54,-5.66,68.0,77,40,3.36,ES,scattered clouds
137,Denizli,37.84,29.07,77.0,27,0,4.7,TR,clear sky
138,Bambous Virieux,-20.34,57.76,71.6,73,40,18.34,MU,scattered clouds
139,Suez,29.97,32.53,79.14,50,0,8.55,EG,clear sky
140,Oktyabrskoye,43.06,44.74,55.4,93,89,4.47,RU,light rain
141,Itarema,-2.92,-39.92,79.93,70,0,19.51,BR,clear sky
142,Ruidoso,33.33,-105.67,87.01,17,1,12.75,US,clear sky
143,Riachao Das Neves,-11.75,-44.91,88.93,28,94,6.8,BR,overcast clouds
144,Dwarka,22.24,68.97,82.89,84,100,19.86,IN,overcast clouds
145,Souillac,-20.52,57.52,71.6,73,40,18.34,MU,scattered clouds
146,Carnarvon,-24.87,113.63,64.4,77,0,18.34,AU,clear sky
147,Barrow,71.29,-156.79,41.0,93,90,5.82,US,mist
148,Aasiaat,68.71,-52.87,42.4,67,0,4.21,GL,clear sky
149,Leek,53.16,6.38,63.0,77,90,5.82,NL,overcast clouds
150,Kindu,-2.95,25.95,70.79,92,100,3.65,CD,light rain
151,Cayenne,4.93,-52.33,86.0,74,7,11.41,GF,light rain
152,Bluff,-46.6,168.33,43.0,94,63,3.0,NZ,broken clouds
