City_ID,City,Country,Max Temp,City Description,Lat,Lng,Hotel Name
632,Chalatenango,SV,73.0,light rain,14.03,-88.93,"Auto Hotel ""LAS PALMERAS"""
634,Iquitos,PE,71.6,overcast clouds,-3.75,-73.25,Cortez Malaga Techy Caroly
638,Burns Lake,CA,63.27,overcast clouds,54.23,-125.75,Burns Lake Bed and Breakfast
639,Shitanjing,CN,65.57,clear sky,39.23,106.34,
645,Cap Malheureux,MU,66.99,light rain,-19.98,57.61,Pereybere Hotel & Spa
647,Almaznyy,RU,62.6,clear sky,48.04,40.05,
649,Nowogard,PL,66.0,clear sky,53.67,15.12,Pokoje Gościnne
650,Bonavista,CA,62.01,scattered clouds,48.65,-53.11,Abbott's Bed & Breakfast
651,Pitanga,BR,60.82,clear sky,-24.76,-51.76,Hotel Santa Carmem
653,Chapais,CA,68.0,broken clouds,49.78,-74.85,Hôtel Opémiska
663,Poum,NC,71.92,few clouds,-20.23,164.02,Gîte kajeon
664,Krizevci,HR,73.4,broken clouds,46.02,16.54,Koristan Kod d.o.o.
670,Zambezi,ZM,66.0,clear sky,-13.54,23.1,Royal Kutachika Lodge
674,Gander,CA,69.8,broken clouds,48.97,-54.59,Albatross Hotel
677,Peniche,PT,71.01,clear sky,39.36,-9.38,Hotel Star inn Peniche
678,Inhambane,MZ,66.2,clear sky,-23.86,35.38,Oceano
680,Mersing,MY,73.4,broken clouds,2.43,103.84,Timotel Hotel
681,Mehran,IR,69.8,clear sky,33.12,46.16,بوتیک زنانه بهار
683,Adwa,ET,62.78,light rain,14.16,38.9,Maay Assa Hotel
